unigene,A Chr,C Chr,AGI
Cab022006.1,A02,.,AT5G28490.1
Cab022005.1,A02,.,AT5G28470.1
Cab022004.1,A02,.,0
Cab022003.2,A02,.,AT5G28300.1
Cab022002.1,A02,.,AT3G04810.2
Cab022001.1,A02,.,AT5G28290.1
Cab022000.1,A02,.,AT5G28290.1
Cab021999.1,A02,.,AT3G04920.1
Cab021998.1,A02,.,AT5G28020.6
Cab021997.1,A02,.,AT5G27980.1
Cab021996.1,A02,.,AT5G27970.1
Cab021995.1,A02,.,0
Cab021994.1,A02,.,AT5G27120.1
Cab021993.1,A02,.,0
Cab021992.3,A02,.,AT5G27150.1
Cab021991.1,A02,.,0
Cab021990.1,A02,.,AT5G27240.1
Cab021989.1,A02,.,0
Cab021988.1,A02,.,AT5G27360.1
BnaA02g31090D,A02,.,0
Cab021987.1,A02,.,AT5G27360.1
BnaA02g31120D,A02,.,0
BnaA02g31130D,A02,.,AT3G08650.2
Cab021986.1,A02,.,AT5G27420.1
Cab021985.1,A02,.,AT5G27430.1
Cab021984.1,A02,.,AT5G27450.3
Cab021983.1,A02,.,AT5G27460.1
Cab021982.1,A02,.,AT5G27470.1
Cab021981.1,A02,.,AT5G27550.1
Cab021980.1,A02,.,AT5G27620.1
Cab021979.5,A02,.,AT5G27630.1
Cab021978.1,A02,.,AT5G27690.1
Cab021977.1,A02,.,0
Cab021976.1,A02,.,AT5G27730.1
BnaA02g31280D,A02,.,AT5G27740.1
Cab021975.1,A02,.,0
Cab021974.1,A02,.,AT5G27770.1
Cab021973.1,A02,.,AT5G27820.1
Cab021972.1,A02,.,AT5G27840.1
Cab021971.5,A02,.,AT1G50010.1
BnaA02g31330D,A02,.,0
BnaA02g31350D,A02,.,0
BnaA02g31360D,A02,.,0
Cab021970.1,A02,.,AT5G27930.2
Cab021969.1,A02,.,AT5G66900.1
Cab021968.1,A02,.,AT5G27030.1
Cab021967.1,A02,.,0
Cab021966.1,A02,.,AT5G26990.1
Cab021965.1,A02,.,0
Cab021964.1,A02,.,0
Cab021963.2,A02,.,AT5G26920.1
Cab021962.1,A02,.,0
Cab021961.1,A02,.,AT5G26910.3
Cab021959.1,A02,.,AT5G26860.1
Cab021958.1,A02,.,AT5G39190.1
Cab021957.1,A02,.,AT5G26820.1
Cab021956.1,A02,.,AT5G26805.1
Cab021955.1,A02,.,0
Cab021954.1,A02,.,AT5G26760.2
Cab021953.1,A02,.,AT5G26620.1
Cab021952.1,A02,.,0
Cab021951.1,A02,.,0
Cab021950.1,A02,.,0
Cab021949.1,A02,.,0
Cab021948.1,A02,.,AT5G25980.3
Cab021947.1,A02,.,0
Cab021946.1,A02,.,AT5G26000.1
Cab021945.1,A02,.,0
Cab021944.1,A02,.,AT5G26000.1
Cab021943.1,A02,.,AT5G26090.1
Cab021942.1,A02,.,AT5G26100.1
Cab021941.1,A02,.,AT5G26150.1
Cab021940.2,A02,.,AT5G26170.1
Cab021939.1,A02,.,0
Cab021938.1,A02,.,AT5G26180.2
Cab021937.1,A02,.,AT5G26210.1
Cab021936.1,A02,.,AT1G56070.1
BnaA02g31580D,A02,.,AT1G56070.1
Cab021935.1,A02,.,AT5G26280.1
Cab021934.1,A02,.,AT5G26280.1
Cab021933.1,A02,.,AT5G26330.1
Cab021932.1,A02,.,0
Cab021931.1,A02,.,AT5G26570.2
Cab021930.1,A02,.,AT5G26594.1
Cab021929.1,A02,.,AT5G26667.3
Cab021928.1,A02,.,0
BnaA02g31650D,A02,.,0
Cab021927.1,A02,.,0
Cab021926.1,A02,.,AT5G26742.2
Cab021925.1,A02,.,AT5G26740.3
Cab021924.1,A02,.,0
Cab021923.1,A02,.,0
Cab021922.1,A02,.,0
Cab021921.1,A02,.,AT5G26710.1
Cab047407.1,A02,.,AT5G26710.1
Cab047408.1,A02,.,0
Cab047409.1,A02,.,AT5G26690.1
Cab047410.1,A02,.,0
Cab047411.1,A02,.,AT5G26660.1
Cab021920.1,A02,.,AT5G26660.1
Cab021919.1,A02,.,0
Cab021918.1,A02,.,0
Cab021917.1,A02,.,AT5G26000.1
Cab021916.1,A02,.,0
Cab021915.1,A02,.,0
Cab021914.1,A02,.,0
Cab021913.1,A02,.,AT5G25940.1
Cab021912.1,A02,.,AT5G25930.1
BnaA02g31830D,A02,.,0
Cab021911.1,A02,.,0
Cab021910.1,A02,.,0
Cab021909.1,A02,.,AT5G25415.1
Cab021908.1,A02,.,AT5G25415.1
Cab021907.1,A02,.,AT5G25800.1
Cab021906.1,A02,.,AT5G25770.3
Cab021905.1,A02,.,AT5G25620.2
Cab021904.1,A02,.,AT5G25610.1
Cab021903.1,A02,.,AT5G25560.1
Cab021902.1,A02,.,AT5G25540.1
Cab021901.1,A02,.,AT5G25530.1
Cab021900.1,A02,.,AT5G25530.1
Cab021899.1,A02,.,0
Cab021898.1,A02,.,AT5G25500.1
Cab021897.1,A02,.,AT5G25490.1
Cab021896.1,A02,.,0
Cab021895.1,A02,.,AT5G25460.1
Cab021894.1,A02,.,AT4G32470.1
Cab021893.1,A02,.,AT5G25400.1
Cab021892.1,A02,.,AT5G25370.1
Cab021891.1,A02,.,AT5G25360.2
Cab021890.1,A02,.,AT5G25340.1
Cab021889.1,A02,.,0
Cab021888.1,A02,.,0
Cab021887.1,A02,.,0
Cab021886.1,A02,.,0
BnaA02g32050D,A02,.,0
Cab021885.1,A02,.,0
Cab021884.1,A02,.,AT5G25265.1
Cab021883.1,A02,.,0
Cab021882.1,A02,.,AT5G25260.1
Cab021881.2,A02,.,AT5G25260.1
Cab021880.1,A02,.,AT5G25240.1
Cab021879.1,A02,.,AT5G25220.1
Cab021878.1,A02,.,AT5G25190.1
Cab021877.1,A02,.,0
Cab021876.2,A02,.,AT5G25120.1
Cab021874.1,A02,.,AT5G25160.1
Cab021873.2,A02,.,AT5G25150.1
Cab021872.1,A02,.,AT5G25120.1
Cab021871.1,A02,.,0
Cab021870.1,A02,.,0
Cab021869.1,A02,.,AT5G25050.1
Cab021868.1,A02,.,0
Cab021867.1,A02,.,AT5G24970.2
Cab021866.1,A02,.,AT5G24940.1
BnaA02g32250D,A02,.,AT3G56640.1
Cab021865.1,A02,.,0
Cab021864.1,A02,.,0
Cab021863.1,A02,.,0
Cab021862.1,A02,.,AT5G25410.1
Cab021861.1,A02,.,0
Cab021860.1,A02,.,AT5G24900.1
Cab021859.2,A02,.,0
Cab021858.1,A02,.,0
Cab021857.1,A02,.,0
Cab021856.1,A02,.,0
Cab021855.1,A02,.,AT5G24810.2
Cab021854.1,A02,.,AT5G24800.1
BnaA02g32340D,A02,.,0
BnaA02g32350D,A02,.,AT5G24770.1
Cab021853.1,A02,.,AT5G24760.1
Cab021852.1,A02,.,AT5G24750.1
Cab021851.1,A02,.,AT4G13310.1
Cab021850.1,A02,.,AT5G24660.1
Cab021849.1,A02,.,AT5G24620.1
Cab021848.1,A02,.,0
Cab021847.1,A02,.,0
Cab047907.1,A02,.,0
Cab021846.1,A02,.,AT5G24600.1
BnaA02g32430D,A02,.,0
Cab021845.1,A02,.,AT5G24580.1
Cab021844.1,A02,.,0
Cab021843.1,A02,.,AT5G24530.1
Cab021842.1,A02,.,AT5G24530.1
Cab021841.1,A02,.,0
Cab021840.1,A02,.,0
Cab021839.1,A02,.,0
Cab021838.1,A02,.,0
BnaA02g32500D,A02,.,0
Cab021836.1,A02,.,0
Cab021835.1,A02,.,0
Cab021834.1,A02,.,0
Cab021833.3,A02,.,AT5G24450.1
Cab021832.1,A02,.,AT5G24340.1
Cab021831.1,A02,.,AT1G59620.1
BnaA02g32680D,A02,.,0
BnaA02g32690D,A02,.,0
Cab021830.1,A02,.,0
Cab021829.1,A02,.,0
BnaA02g32610D,A02,.,0
Cab021828.1,A02,.,AT5G24340.1
Cab021827.1,A02,.,AT5G24330.1
Cab021826.2,A02,.,0
Cab021825.1,A02,.,0
Cab021824.1,A02,.,0
Cab021823.1,A02,.,0
Cab021822.1,A02,.,AT5G24270.2
Cab021821.1,A02,.,AT5G24230.1
Cab021820.4,A02,.,AT5G24150.1
Cab021819.1,A02,.,AT5G24140.1
Cab021818.1,A02,.,AT5G24030.1
Cab021817.1,A02,.,AT5G23980.1
Cab048049.1,A02,.,AT5G23990.1
Cab021816.1,A02,.,AT5G23940.1
Cab021815.2,A02,.,0
Cab021814.1,A02,.,0
Cab021813.1,A02,.,AT5G23870.1
Cab021812.1,A02,.,0
Cab021811.1,A02,.,0
Cab021810.1,A02,.,0
Cab021809.1,A02,.,0
Cab021808.1,A02,.,0
Cab021807.1,A02,.,0
Cab021806.1,A02,.,AT5G23740.1
Cab021805.1,A02,.,0
Cab021804.1,A02,.,AT5G23630.1
Cab021803.1,A02,.,AT5G23610.2
Cab021802.1,A02,.,AT5G23580.1
Cab021801.1,A02,.,AT5G23580.1
Cab021800.1,A02,.,AT5G23580.1
BnaA02g32850D,A02,.,AT5G23540.1
Cab021799.1,A02,.,AT5G23480.1
Cab021798.1,A02,.,AT5G23540.1
Cab021797.1,A02,.,AT5G23540.1
Cab021796.1,A02,.,AT5G23480.1
Cab021795.1,A02,.,AT5G23450.2
Cab021794.1,A02,.,0
Cab021793.1,A02,.,0
Cab021792.1,A02,.,0
Cab021791.1,A02,.,AT5G23370.1
Cab021790.1,A02,.,AT5G23370.1
Cab021789.1,A02,.,0
Cab021788.1,A02,.,AT5G23340.1
BnaA02g32940D,A02,.,AT5G23290.1
Cab021787.1,A02,.,0
Cab021786.2,A02,.,AT5G23260.2
Cab021785.1,A02,.,AT5G23220.1
Cab021784.1,A02,.,AT5G23210.1
Cab021783.3,A02,.,AT5G23190.1
BnaA02g32990D,A02,.,AT5G23160.1
Cab021782.1,A02,.,AT5G23150.1
Cab021781.1,A02,.,0
Cab021780.1,A02,.,AT5G23030.1
Cab021779.1,A02,.,AT5G23020.1
BnaA02g33050D,A02,.,0
Cab021778.1,A02,.,AT5G23010.1
Cab021777.1,A02,.,0
Cab021776.1,A02,.,0
Cab021775.1,A02,.,0
Cab021774.1,A02,.,AT5G60850.1
Cab021773.1,A02,.,0
Cab021772.1,A02,.,AT5G60890.1
Cab021771.1,A02,.,0
Cab021770.1,A02,.,AT5G60890.1
Cab021769.1,A02,.,0
Cab021768.1,A02,.,AT5G60910.1
Cab021767.1,A02,.,0
Cab021766.1,A02,.,AT5G60930.1
Cab021765.1,A02,.,AT5G60970.1
Cab021764.1,A02,.,AT4G08020.1
Cab021763.1,A02,.,AT5G60980.2
Cab021762.1,A02,.,AT5G60990.1
Cab021761.1,A02,.,AT5G66610.2
Cab021760.1,A02,.,0
Cab005670.1,A02,.,0
Cab021759.1,A02,.,0
Cab021758.1,A02,.,AT5G61060.1
Cab021757.1,A02,.,AT5G61060.1
Cab021756.1,A02,.,0
Cab021755.1,A02,.,0
Cab021754.1,A02,.,0
Cab021753.1,A02,.,AT5G61130.1
Cab021752.2,A02,.,AT5G61140.2
Cab021750.1,A02,.,0
Cab021749.1,A02,.,0
Cab021748.1,A02,.,AT5G61210.1
Cab021747.1,A02,.,AT5G65990.1
Cab021746.1,A02,.,AT5G61220.1
Cab021745.1,A02,.,0
Cab021744.1,A02,.,0
Cab021743.1,A02,.,0
Cab021742.1,A02,.,0
Cab021741.1,A02,.,AT5G61620.1
Cab021740.1,A02,.,0
Cab021739.1,A02,.,AT5G61560.1
Cab021738.1,A02,.,AT5G61550.2
Cab021737.1,A02,.,0
Cab021736.1,A02,.,AT5G61550.2
Cab021733.1,A02,.,AT5G61550.2
Cab021735.1,A02,.,AT5G61550.2
Cab021734.1,A02,.,AT5G61550.2
Cab021732.1,A02,.,0
Cab021731.1,A02,.,0
Cab021730.1,A02,.,AT5G61430.1
Cab021729.1,A02,.,0
Cab021728.1,A02,.,AT5G61420.2
Cab021727.1,A02,.,AT4G34880.1
Cab021726.1,A02,.,0
Cab021725.1,A02,.,AT5G61780.1
Cab021724.1,A02,.,AT5G61790.1
Cab021723.1,A02,.,AT5G61820.1
Cab021722.1,A02,.,AT5G61820.1
Cab021721.1,A02,.,AT5G61850.1
Cab021720.1,A02,.,AT2G27630.1
Cab021719.1,A02,.,0
Cab021718.2,A02,.,AT5G51530.1
Cab021717.1,A02,.,AT5G61890.1
Cab021716.1,A02,.,AT5G61910.4
Cab021715.2,A02,.,0
Cab021714.1,A02,.,AT1G52450.1
Cab021713.1,A02,.,0
Cab021712.1,A02,.,AT5G61940.1
Cab021711.1,A02,.,AT5G61960.2
Cab021710.1,A02,.,AT5G61970.1
Cab021709.2,A02,.,AT5G61980.1
Cab021708.1,A02,.,0
Cab021707.1,A02,.,AT5G62000.3
Cab021706.1,A02,.,AT5G62020.1
Cab021705.1,A02,.,0
Cab021704.1,A02,.,AT5G62050.1
Cab021703.1,A02,.,AT5G62090.2
Cab021702.1,A02,.,AT5G62100.2
Cab021701.1,A02,.,0
Cab021700.1,A02,.,AT5G62130.1
Cab047952.2,A02,.,AT5G62130.1
Cab021697.1,A02,.,AT5G62140.1
Cab021695.1,A02,.,AT5G62150.1
Cab021694.1,A02,.,0
Cab021693.1,A02,.,0
Cab021692.1,A02,.,0
Cab021691.1,A02,.,AT5G62160.1
Cab005741.1,A02,.,AT5G62160.1
Cab047726.1,A02,.,AT5G62160.1
BnaA02g33220D,A02,.,AT5G62162.1
Cab021690.1,A02,.,AT5G62165.3
Cab021689.1,A02,.,0
Cab021688.1,A02,.,0
Cab021687.1,A02,.,0
Cab021686.1,A02,.,0
BnaA02g33280D,A02,.,0
Cab021685.1,A02,.,0
Cab021684.1,A02,.,0
Cab021683.1,A02,.,0
Cab021682.1,A02,.,AT5G62190.1
Cab021681.1,A02,.,AT5G62200.1
Cab021680.1,A02,.,AT5G62210.1
Cab021679.1,A02,.,0
Cab021678.1,A02,.,AT5G62270.1
Cab021677.2,A02,.,AT5G62280.1
Cab021676.1,A02,.,AT5G62290.2
BnaA02g33350D,A02,.,AT5G62310.1
BnaA02g33360D,A02,.,AT5G62310.1
Cab021675.1,A02,.,AT5G62350.1
Cab021674.1,A02,.,0
Cab021673.1,A02,.,AT5G62380.1
Cab021672.1,A02,.,AT5G62300.2
Cab021671.1,A02,.,AT5G62380.1
Cab021670.1,A02,.,AT5G62420.1
BnaA02g33400D,A02,.,AT3G10290.1
Cab021669.1,A02,.,AT5G62430.1
Cab021668.1,A02,.,0
Cab021667.1,A02,.,AT5G62460.1
Cab021666.1,A02,.,AT5G62470.2
BnaA02g33420D,A02,.,AT5G62490.1
BnaA02g33430D,A02,.,AT5G62500.1
Cab021665.1,A02,.,AT4G28360.1
Cab021663.1,A02,.,AT3G47690.1
BnaA02g33440D,A02,.,0
Cab021662.1,A02,.,AT5G62520.1
BnaA02g33460D,A02,.,AT5G62530.1
Cab021661.2,A02,.,AT5G62530.1
BnaA02g33480D,A02,.,0
Cab021660.1,A02,.,0
Cab021659.1,A02,.,AT5G62560.1
Cab021658.1,A02,.,0
Cab021657.2,A02,.,AT5G62670.1
Cab021656.1,A02,.,AT5G62740.1
Cab021655.1,A02,.,0
Cab021654.1,A02,.,AT5G62820.1
Cab021653.1,A02,.,AT5G62850.1
Cab021652.1,A02,.,0
Cab021651.1,A02,.,0
Cab021650.1,A02,.,0
Cab021649.1,A02,.,0
Cab021648.2,A02,.,AT5G62880.1
Cab021647.1,A02,.,0
Cab021646.1,A02,.,AT5G62890.3
Cab021645.1,A02,.,0
Cab021644.1,A02,.,0
Cab021643.1,A02,.,AT3G62850.1
Cab021642.2,A02,.,AT5G63160.1
Cab021641.1,A02,.,AT5G63170.1
Cab021640.1,A02,.,AT5G63220.1
Cab021639.1,A02,.,AT5G63280.1
Cab021638.2,A02,.,0
Cab021637.1,A02,.,AT5G63350.1
Cab021636.1,A02,.,AT5G63370.4
Cab021635.1,A02,.,AT5G63380.1
Cab021634.1,A02,.,0
Cab021633.1,A02,.,0
Cab021632.1,A02,.,0
Cab021631.1,A02,.,0
Cab021630.1,A02,.,0
Cab021629.1,A02,.,AT5G63450.1
Cab021628.1,A02,.,0
Cab021627.2,A02,.,AT5G63490.1
Cab021626.1,A02,.,AT5G63510.1
Cab021625.1,A02,.,0
BnaA02g33740D,A02,.,0
BnaA02g33750D,A02,.,0
Cab021624.1,A02,.,0
Cab021623.1,A02,.,0
Cab021622.1,A02,.,0
Cab021621.2,A02,.,AT5G63520.1
Cab021620.1,A02,.,AT5G63530.1
Cab021619.1,A02,.,AT4G34910.1
Cab021618.1,A02,.,0
Cab021617.1,A02,.,0
BnaA02g33790D,A02,.,AT1G34150.1
Cab021616.1,A02,.,0
Cab021615.1,A02,.,0
Cab021614.1,A02,.,0
BnaA02g33810D,A02,.,0
BnaA02g33820D,A02,.,0
Cab021613.1,A02,.,AT5G63640.1
BnaA02g33840D,A02,.,0
Cab021612.1,A02,.,0
Cab021611.1,A02,.,0
Cab021610.1,A02,.,AT5G63670.1
Cab021609.1,A02,.,0
Cab021608.1,A02,.,0
Cab021607.1,A02,.,AT5G63770.2
Cab021606.1,A02,.,0
Cab021605.3,A02,.,AT5G63780.1
Cab021604.1,A02,.,AT5G63800.1
Cab021603.1,A02,.,AT5G63850.1
Cab021602.2,A02,.,AT5G63860.1
BnaA02g33950D,A02,.,0
Cab021601.1,A02,.,0
Cab021600.1,A02,.,0
Cab021599.1,A02,.,AT5G63920.1
Cab021598.3,A02,.,AT5G63940.1
Cab021597.1,A02,.,0
Cab021596.1,A02,.,AT5G63990.1
Cab021595.1,A02,.,AT5G64000.1
Cab021594.1,A02,.,AT5G64020.1
Cab021593.1,A02,.,AT5G64030.1
Cab021592.1,A02,.,AT5G64070.1
Cab021591.1,A02,.,0
Cab021590.1,A02,.,0
Cab021589.1,A02,.,AT5G64120.1
Cab021588.1,A02,.,AT5G64130.1
Cab021587.1,A02,.,AT5G64230.1
Cab021586.1,A02,.,AT5G45990.1
Cab021585.3,A02,.,AT5G64240.2
Cab021584.1,A02,.,0
Cab021583.1,A02,.,AT5G64260.1
Cab021582.1,A02,.,AT5G64280.1
Cab021581.1,A02,.,0
Cab021580.1,A02,.,0
Cab021579.1,A02,.,AT5G64320.1
Cab021578.1,A02,.,AT5G64341.1
Cab021577.1,A02,.,0
Cab021576.1,A02,.,AT5G64410.1
Cab021575.1,A02,.,0
Cab021574.2,A02,.,AT5G64440.1
Cab021573.1,A02,.,0
Cab021572.2,A02,.,AT5G64530.1
Cab021571.1,A02,.,AT5G64552.1
Cab021570.1,A02,.,AT5G64560.2
BnaA02g34290D,A02,.,0
Cab021569.1,A02,.,AT5G64570.1
Cab021568.1,A02,.,0
Cab021567.1,A02,.,0
Cab021566.2,A02,.,0
Cab021565.1,A02,.,0
Cab021564.1,A02,.,0
Cab021563.1,A02,.,AT5G64710.2
Cab021562.1,A02,.,0
Cab021561.1,A02,.,0
Cab021560.1,A02,.,0
Cab021559.1,A02,.,AT5G64740.1
Cab021558.1,A02,.,AT5G64750.1
Cab021557.1,A02,.,0
Cab021556.1,A02,.,AT5G64790.1
Cab021555.1,A02,.,AT5G64810.1
Cab021554.1,A02,.,AT5G64840.1
Cab021553.2,A02,.,AT5G64850.1
Cab021552.1,A02,.,AT5G64870.1
Cab021551.1,A02,.,0
Cab021550.1,A02,.,0
Cab021549.1,A02,.,0
Cab021548.1,A02,.,AT5G64960.1
Cab021547.1,A02,.,AT5G64970.1
Cab021546.1,A02,.,AT5G65020.1
Cab021545.1,A02,.,0
Cab021544.1,A02,.,AT1G77080.4
Cab021543.2,A02,.,0
Cab021542.1,A02,.,AT5G65070.1
BnaA02g34530D,A02,.,0
Cab021541.1,A02,.,0
Cab021540.1,A02,.,AT5G65080.1
Cab021539.1,A02,.,0
Cab021538.1,A02,.,AT3G14420.2
Cab021537.1,A02,.,AT5G65090.1
Cab021536.1,A02,.,0
Cab021535.1,A02,.,0
BnaA02g34590D,A02,.,AT5G66870.1
Cab021534.1,A02,.,AT5G65140.1
Cab021533.1,A02,.,AT5G65158.1
Cab021532.1,A02,.,AT5G65165.1
Cab021531.1,A02,.,AT5G65170.1
Cab021530.1,A02,.,0
Cab021529.1,A02,.,AT5G65205.1
Cab021528.1,A02,.,AT5G65207.1
Cab021527.1,A02,.,AT5G65210.5
Cab021526.1,A02,.,AT5G65220.1
Cab021525.1,A02,.,AT5G65250.1
Cab021524.1,A02,.,0
Cab021523.1,A02,.,AT5G65290.1
Cab021522.1,A02,.,0
Cab021521.1,A02,.,AT5G65310.1
Cab021520.1,A02,.,0
Cab021519.1,A02,.,0
Cab021518.1,A02,.,AT5G65340.1
Cab021517.1,A02,.,AT1G09200.1
Cab021516.1,A02,.,AT5G65370.1
Cab021515.1,A02,.,AT5G65400.1
Cab021514.1,A02,.,AT5G65410.1
Cab021513.1,A02,.,AT5G65420.1
Cab021512.1,A02,.,AT5G65470.1
Cab021511.1,A02,.,AT5G65480.1
Cab021510.1,A02,.,0
Cab021509.1,A02,.,AT5G65530.1
Cab021508.1,A02,.,AT5G65590.1
Cab021507.1,A02,.,0
Cab021506.1,A02,.,AT5G65640.1
Cab021505.1,A02,.,AT5G65660.1
Cab021503.1,A02,.,AT5G65670.1
Cab021502.1,A02,.,AT5G65683.1
Cab021501.1,A02,.,0
Cab021500.1,A02,.,0
Cab021499.1,A02,.,AT5G65690.1
Cab021498.1,A02,.,AT5G65790.1
Cab021497.1,A02,.,AT5G65800.1
Cab021496.1,A02,.,0
Cab021495.1,A02,.,0
Cab021494.1,A02,.,0
Cab021493.1,A02,.,AT5G67620.1
Cab021492.1,A02,.,0
Cab021491.1,A02,.,AT5G67550.1
Cab021490.1,A02,.,AT5G67500.2
Cab021489.1,A02,.,0
Cab021488.1,A02,.,AT5G67470.1
Cab021487.1,A02,.,0
Cab021486.1,A02,.,0
Cab021485.1,A02,.,AT1G03100.1
Cab021484.1,A02,.,AT5G67460.1
Cab021483.1,A02,.,AT5G67420.1
Cab021482.1,A02,.,AT5G67400.1
Cab021481.1,A02,.,AT5G67390.2
Cab021480.1,A02,.,AT5G67385.1
Cab021479.1,A02,.,AT5G67380.1
Cab021478.1,A02,.,AT5G66850.1
Cab021477.1,A02,.,0
Cab021476.1,A02,.,AT3G01310.2
Cab021475.1,A02,.,0
Cab021474.1,A02,.,0
BnaA02g34660D,A02,.,0
Cab021473.1,A02,.,AT5G66780.1
Cab021472.1,A02,.,0
Cab021471.1,A02,.,AT5G66760.1
Cab021470.1,A02,.,AT5G66740.1
Cab021469.1,A02,.,0
Cab021468.2,A02,.,0
Cab021467.1,A02,.,AT5G66680.1
Cab021466.1,A02,.,0
Cab021465.1,A02,.,AT5G66650.1
Cab021464.1,A02,.,0
Cab047897.1,A02,.,0
Cab021463.1,A02,.,AT5G66650.1
Cab021462.2,A02,.,0
Cab021461.1,A02,.,0
Cab021460.1,A02,.,AT5G66580.1
Cab021459.1,A02,.,AT5G66570.1
Cab021458.1,A02,.,0
BnaA02g34770D,A02,.,AT5G66510.1
Cab021457.1,A02,.,AT5G66450.2
Cab021456.1,A02,.,AT5G66280.1
Cab021455.1,A02,.,AT5G66380.1
Cab021454.1,A02,.,AT5G66400.1
Cab021453.1,A02,.,AT5G66240.2
Cab021452.1,A02,.,AT5G66200.1
Cab043362.1,A02,.,0
Cab021451.1,A02,.,AT5G66180.1
Cab021450.1,A02,.,AT5G66170.3
Cab021449.1,A02,.,AT5G66090.1
Cab021448.1,A02,.,AT5G65980.1
Cab021447.1,A02,.,AT5G65940.1
Cab021446.1,A02,.,AT5G65930.2
Cab021445.1,A02,.,0
BnaA02g34900D,A02,.,0
BnaA03g00010D,A03,.,0
Cab015321.2,A03,.,0
Cab015322.4,A03,.,AT5G37450.1
BnaA03g00060D,A03,.,0
BnaA03g00070D,A03,.,AT5G01950.1
BnaA03g00110D,A03,.,0
BnaA03g00080D,A03,.,0
BnaA03g00090D,A03,.,AT5G01930.1
BnaA03g00100D,A03,.,AT5G01920.1
Cab015323.1,A03,.,0
BnaA03g00130D,A03,.,0
Cab015324.1,A03,.,AT5G01860.1
Cab015325.1,A03,.,AT5G01790.1
BnaA03g00150D,A03,.,0
BnaA03g00170D,A03,.,AT1G52565.1
Cab015326.2,A03,.,AT5G01760.1
Cab015327.1,A03,.,0
Cab015328.1,A03,.,AT5G01720.1
BnaA03g00190D,A03,.,AT5G01712.1
Cab015329.2,A03,.,AT5G01690.1
Cab015330.1,A03,.,AT5G01670.1
BnaA03g00220D,A03,.,AT5G01650.2
Cab015331.4,A03,.,AT5G01630.1
Cab015332.1,A03,.,AT5G01620.2
Cab015333.1,A03,.,AT5G01610.1
Cab015334.1,A03,.,AT5G01600.1
BnaA03g00270D,A03,.,0
Cab015335.1,A03,.,AT5G01590.1
Cab015336.1,A03,.,AT5G01580.1
Cab015337.1,A03,.,0
Cab015338.1,A03,.,AT5G01560.1
Cab015339.1,A03,.,AT5G01560.1
Cab015340.1,A03,.,AT5G01542.1
Cab015341.1,A03,.,AT5G01520.1
Cab015342.1,A03,.,AT5G01510.1
Cab015343.2,A03,.,AT5G01500.1
Cab015344.1,A03,.,AT5G01450.1
Cab015345.1,A03,.,AT5G01430.2
Cab015346.1,A03,.,AT5G01410.1
Cab015347.1,A03,.,AT5G01380.1
Cab015348.1,A03,.,AT5G01360.1
Cab015349.1,A03,.,AT5G01340.1
Cab015350.1,A03,.,AT5G01290.1
Cab015351.1,A03,.,AT5G01270.2
Cab015352.2,A03,.,0
Cab015353.1,A03,.,AT5G01220.1
Cab015354.1,A03,.,AT5G01110.1
Cab015355.1,A03,.,AT5G01070.2
Cab015356.1,A03,.,AT5G01050.1
Cab015357.1,A03,.,AT5G01050.1
Cab015358.1,A03,.,AT5G01030.2
Cab015359.1,A03,.,AT5G02020.1
Cab015360.1,A03,.,0
Cab043303.1,A03,.,0
Cab015361.1,A03,.,0
Cab015362.1,A03,.,AT5G02030.1
Cab015363.3,A03,.,AT5G02050.1
Cab015364.1,A03,.,0
Cab015365.1,A03,.,0
Cab015366.1,A03,.,0
Cab015367.3,A03,.,AT5G02130.1
Cab015368.1,A03,.,AT5G02170.1
Cab015369.1,A03,.,AT5G02170.1
Cab015370.1,A03,.,0
Cab015371.1,A03,.,0
Cab015372.1,A03,.,AT5G02260.1
Cab015373.1,A03,.,AT5G02270.1
Cab015374.1,A03,.,AT5G02280.1
Cab015375.3,A03,.,AT5G02310.1
Cab015376.1,A03,.,AT5G59840.1
Cab015377.1,A03,.,AT5G02370.1
Cab015378.1,A03,.,AT5G02380.1
Cab015379.1,A03,.,AT5G02390.1
Cab015380.1,A03,.,AT5G02410.1
Cab015381.1,A03,.,0
Cab015382.1,A03,.,AT5G02430.1
Cab015383.1,A03,.,AT5G02460.1
Cab015384.2,A03,.,AT5G02470.3
Cab015385.1,A03,.,AT5G02480.1
Cab015386.1,A03,.,AT5G02530.1
Cab015387.2,A03,.,AT5G02540.1
Cab015388.1,A03,.,0
Cab015390.1,A03,.,AT5G02580.1
Cab015389.1,A03,.,AT5G02580.1
Cab015426.1,A03,.,AT5G02580.1
Cab015391.1,A03,.,AT5G03370.1
Cab015392.1,A03,.,AT5G03340.1
Cab015393.1,A03,.,AT5G03330.2
Cab015394.2,A03,.,AT5G03290.1
Cab015395.1,A03,.,AT5G03250.1
Cab015396.1,A03,.,0
Cab015398.1,A03,.,0
Cab015399.1,A03,.,0
Cab015400.1,A03,.,0
Cab015401.1,A03,.,AT5G03170.1
Cab015402.1,A03,.,AT5G03150.1
Cab015403.1,A03,.,0
Cab015404.1,A03,.,AT5G03140.1
Cab015405.1,A03,.,0
Cab015406.1,A03,.,0
Cab015407.1,A03,.,AT5G03040.3
Cab015408.1,A03,.,0
Cab015409.4,A03,.,AT3G09680.1
Cab015410.1,A03,.,0
Cab015411.2,A03,.,AT5G02890.1
Cab015412.1,A03,.,AT5G02880.1
